연번,전통시장명,상호명,운영시간,업종구분,도로명 주소,지번 주소,전화번호,위도,경도,데이터기준
113,주문진좌판풍물시장,설희네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891121398663905,128.829165724943,2021-12-10
114,주문진좌판풍물시장,신일1,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.89105357332969,128.829209582674,2021-12-10
115,주문진좌판풍물시장,신일2,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891060213303106,128.829210804104,2021-12-10
116,주문진좌판풍물시장,신일3,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910669649578,128.829212054681,2021-12-10
117,주문진좌판풍물시장,신일4,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.89107373214,128.829213294244,2021-12-10
118,주문진좌판풍물시장,창수네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.89108044472471,128.829213994847,2021-12-10
119,주문진좌판풍물시장,만복수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.89108707839431,128.829214130159,2021-12-10
120,주문진좌판풍물시장,신희네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891093780683505,128.829214267168,2021-12-10
121,주문진좌판풍물시장,미옥이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891100619763,128.829214436437,2021-12-10
122,주문진좌판풍물시장,숙자네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911073211549,128.829214631171,2021-12-10
123,주문진좌판풍물시장,충주네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911140010194,128.829214738753,2021-12-10
124,주문진좌판풍물시장,빈점포,,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911206328944,128.829214989514,2021-12-10
