순위,관광지명,주소,분류
70,정동진,강원 강릉시 정동역길 17-0,복합관광시설
71,호텔탑스텐강릉,강원 강릉시 헌화로 455-34,호텔
72,발왕산케이블카,강원 평창군 올림픽로 715-0,기타관광
73,샤인데일골프앤리조트,강원 홍천군 한서로 247-156,육상레저스포츠
74,비발디파크,강원 홍천군 한치골길 262-0,육상레저스포츠
75,속삭이는자작나무숲,강원 인제군,자연공원
76,백담사,강원 인제군 백담로 746-0,종교성지
77,망상해수욕장,강원 동해시 동해대로 6270-21,자연경관(하천/해양)
78,금호리조트설악,강원 속초시 사당골길 43-0,콘도미니엄
79,마운틴콘도,강원 정선군 하이원길 265-1,콘도미니엄
80,엘리시안강촌스키장,강원 춘천시 북한강변길 688-0,육상레저스포츠
81,삼척항,강원 삼척시 삼척항길 264-0,자연경관(하천/해양)
82,더플레이어스골프클럽,강원 춘천시 새술막길 438-0,육상레저스포츠
83,한화리조트평창,강원 평창군 태기로 228-33,콘도미니엄
84,강릉시외버스터미널,강원 강릉시 하슬라로 27-0,교통시설
85,켄싱턴리조트설악밸리,강원 고성군 신평골길 8-25,콘도미니엄
86,켄싱턴호텔평창,강원 평창군 진고개로 231-0,호텔
87,용평리조트스키장,강원 평창군 올림픽로 715-0,육상레저스포츠
88,서부시장,강원 영월군 서부시장길 8-1,시장
89,라비에벨CC올드코스,강원 춘천시 종자리로 436-0,육상레저스포츠
90,하이원워터월드,강원 정선군 하이원길 175-0,테마공원
91,파가니카CC,강원 춘천시 소주고개로 145-10,육상레저스포츠
92,소양강스카이워크,강원 춘천시 영서로 2663-0,랜드마크관광
93,영랑호리조트,강원 속초시 영랑호반길 170-0,콘도미니엄
94,씨크루즈호텔,강원 속초시 청초호반로 273-0,호텔
95,옥스필드CC,강원 횡성군 경강로유현6길 28-0,육상레저스포츠
96,춘천시외버스터미널,강원 춘천시 경춘로 2341-0,교통시설
97,씨마크호텔,강원 강릉시 해안로406번길 2-0,호텔
98,묵호항,강원 동해시,자연경관(하천/해양)
99,설악워터피아,강원 속초시 미시령로2983번길 88-0,테마공원
100,용평리조트그린피아콘도,강원 평창군 올림픽로 715-0,콘도미니엄
