순위,분류,관련 키워드,언급건수
340,휴식/힐링,밀월여행,19
340,체험,고택체험,19
344,체험,전통의상체험,18
344,레포츠,빠지패키지,18
346,기타,일출투어,17
346,체험,교복체험,17
346,체험,뱃놀이체험,17
349,레포츠,씨워킹,16
349,체험,레일바이크체험,16
349,체험,마차체험,16
352,휴식/힐링,몰캉스,15
353,레포츠,스킨다이빙,14
354,체험,귀신체험,13
354,체험,달고나체험,13
354,휴식/힐링,카페케이션,13
357,레포츠,인라인스케이팅,12
357,레포츠,도지볼,12
359,체험,조개체험,11
360,체험,지게체험,10
360,기타,문화재여행,10
360,레포츠,줄낚시,10
360,체험,한옥숙박체험,10
360,체험,증강현실체험,10
360,기타,일몰여행,10
360,체험,학생승마체험,10
360,휴식/힐링,황제관광,10
360,레포츠,바이크캠핑,10
369,체험,조종체험,9
369,레포츠,cmas,9
369,체험,말타기체험,9
369,휴식/힐링,모캉스,9
373,체험,경비행기체험,8
373,체험,토끼먹이주기체험,8
373,휴식/힐링,카캉스,8
373,기타,일몰투어,8
373,체험,스쿠버다이빙체험,8
378,기타,순례여행,7
378,레포츠,암벽산행,7
378,레포츠,naui,7
378,레포츠,락클라이밍,7
382,체험,라탄공예체험,6
382,체험,가우디투어,6
382,체험,귤체험,6
382,체험,해루질체험,6
382,체험,다이빙체험,6
382,체험,전원생활체험,6
382,체험,올레길체험,6
389,레포츠,롱스키,5
389,체험,해병대캠프,5
389,체험,말먹이주기체험,5
389,체험,도서관체험,5
389,체험,매듭공예체험,5
389,체험,한복입기체험,5
395,체험,굴렁쇠체험,4
395,체험,향수체험,4
395,휴식/힐링,차캉스,4
395,레포츠,웨이크보딩,4
399,휴식/힐링,옥캉스,3
399,기타,덕질여행,3
399,체험,오프로드체험,3
399,체험,어린이승마체험,3
399,체험,스카이워크체험,3
399,레포츠,스네이크보드,3
399,레포츠,마운틴보드,3
399,레포츠,케이빙,3
399,체험,카라반체험,3
408,체험,호텔체험,2
408,체험,기모노체험,2
408,레포츠,줄없는번지,2
408,휴식/힐링,홈핑,2
408,휴식/힐링,홈크닉,2
408,휴식/힐링,방구석캠핑,2
408,체험,전주한옥마을체험,2
408,체험,해저체험,2
408,체험,낙타체험,2
408,체험,바지락체험,2
408,휴식/힐링,옥터파크,2
408,체험,옛날놀이체험,2
420,체험,비행시뮬레이션,1
420,체험,알파카동물체험,1
420,체험,알공예체험,1
420,휴식/힐링,한캉스,1
420,체험,차문화체험,1
420,휴식/힐링,백캉스,1
420,레포츠,오프로드라이딩,1
420,체험,현지인체험,1
420,레포츠,bsac,1
420,체험,전기자전거체험,1
