순위,업소명,주소,분류
50,강릉동화가든짬뽕순두부속초점,강원 속초시 관광로 433-0,한식
51,학곡리막국수닭갈비,강원 춘천시 공지로 29-0,전문음식
52,봉브레드,강원 속초시 동해대로 4344-1,간이음식
53,홍천사랑말한우홍천점,강원 홍천군 홍천로 13-5,한식
54,순두부젤라또3호점,강원 강릉시 해안로 1603-0,카페/찻집
55,바람꽃해녀마을속초본점,강원 속초시 바람꽃마을길 37-0,전문음식
56,물치항회센터,강원 양양군 동해대로 3584-0,전문음식
57,초당할머니순두부,강원 강릉시 초당순두부길 77-0,한식
58,권할머니한우시래기해장국,강원 춘천시 종자리로 268-0,한식
59,맥도날드속초DT점,강원 속초시 동해대로 4118-0,간이음식
60,온더가든,강원 춘천시 종자리로 21-0,전문음식
61,삼척항활어회센터,강원 삼척시 정라항길 8-0,전문음식
62,카페 설악산로,강원 속초시 설악산로 108-0,카페/찻집
63,순두부젤라또1호점,강원 강릉시 초당순두부길 95-5,카페/찻집
64,순두부젤라또2호점,강원 강릉시 경강로 2642-0,카페/찻집
65,시드누아속초점,강원 속초시 바람꽃마을1길 38-0,카페/찻집
66,형제칼국수,강원 강릉시 강릉대로204번길 2-0,한식
67,철원막국수,강원 철원군 명성로158번길 13-0,한식
68,실로암메밀국수,강원 양양군 장산4길 8-14,한식
69,우성닭갈비본점,강원 춘천시 만천양지길 87-0,전문음식
70,9남매두부집,강원 강릉시 초당원길 63-2,한식
71,횡성축협한우프라자본점,강원 횡성군 횡성로 337-0,한식
72,금이야옥이야,강원 속초시 새마을길 53-0,한식
73,원조강릉교동반점본점 [중식],강원 강릉시 강릉대로 205-0,외국식
74,뚜레한우홍천본점,강원 홍천군 한계길 108-0,한식
75,다키닥팜,강원 평창군 금당계곡로 1731-5,전문음식
76,남경막국수,강원 속초시 동해대로 3888-0,한식
77,리버레인,강원 춘천시 영서로 2529-47,카페/찻집
78,만석닭강정시장1호점,강원 속초시 중앙로147번길 16-0,간이음식
79,스타벅스속초교동DT점,강원 속초시 청대로 339-0,카페/찻집
80,고선생화덕생선구이,강원 강릉시 해안로 286-0,한식
81,평창한우마을면온점,강원 평창군 진조길 57-0,한식
82,해성횟집,강원 강릉시 금성로 21-0,전문음식
83,초당두부마을,강원 강릉시,음식점기타
84,섭죽마을,강원 속초시 관광로 352-0,한식
85,미가,강원 속초시 신흥2길 41-0,한식
86,속초751샌드위치,강원 속초시 교동로 75-1,간이음식
87,바우카페본점,강원 강릉시 진리해변길 109-1,카페/찻집
88,보헤미안로스터즈박이추커피공장,강원 강릉시 해안로 1107-0,카페/찻집
89,대원당,강원 춘천시 퇴계로 191-0,간이음식
90,메밀촌막국수,강원 정선군 고한로 79-0,한식
91,벌집,강원 강릉시 경강로2069번길 15-0,한식
92,맥도날드춘천퇴계DT점,강원 춘천시 영서로 2173-0,간이음식
93,용바위식당,강원 인제군 진부령로 107-0,전문음식
94,사돈집,강원 속초시 영랑해안1길 8-0,한식
95,346커피스토리,강원 강릉시 창해로 346-0,카페/찻집
96,호원가든닭갈비,강원 춘천시 북한강변길 346-0,전문음식
97,어나더블루,강원 속초시 장사항해안길 61-0,카페/찻집
98,인필드,강원 춘천시 가락재로 40-0,카페/찻집
99,강릉빵다방본점,강원 강릉시 남강초교1길 24-0,간이음식
100,신다신,강원 속초시 아바이마을길 22-0,한식
