번호,통화일시,신고내역(위치),동물종
172,2021-06-25 11:58,"7번국도, 아산병원~시내방면, 지변동주유소 gs칼텍스 10미터전, 고라니사체",고라니
173,2021-06-29 10:09,강릉에서 주문진 방향 아산병원들어가는 길 고양이 로드킬 문의,고양이
174,2021-06-30 08:36,"주문진방향, 7번국도 상(왼쪽에 대성공업사가 보인다고함.) 고라니 사체",고라니
175,2021-06-30 11:56,"포남동 산호전기 앞, 고양이 사체",고양이
176,2021-06-30 11:57,송정동신도브래뉴1차  후문쪽 길가 고양이 사체,고양이
177,2021-06-30 11:59,"산호전기조명 포남동, 도로가 고양이 사체 ",고양이
178,2021-06-30 16:04,강릉 세븐일레븐 편의점(경포수호텔)입구 바로 옆 비둘기 로드킬 ,비둘기
179,2021-07-01 08:33,남강릉ic 거의 다가서 고양이사체,고양이
180,2021-07-01 09:00,고양이사체 신고(회산교에서 롯데주류 정문방향에 아기 고양이 사체),고양이
181,2021-07-01 11:11,고양이사체- 도로명주소 명주로64번길1 맞은편 음식물 쓰레기통근처에 있음,고양이
182,2021-07-01 17:28,[로드킬] 입암동 원마트~중앙고등학교 후문가는 도로 고양이 로드킬,고양이
183,2021-07-01 17:28,로드킬 .입암동 원마트 ~ 중앙고 후문 쪽 고양사체,고양이
184,2021-07-02 13:32,새 로드킬신고(택지 우편집중국에서  택지방향의 도로),새
185,2021-07-02 16:17,고양이사체 신고(남산막국수 가게 건너편 도로),고양이사체
186,2021-07-06 10:49,고양이 사체신고.강릉에서 정동진방향으로 안인방향의 좌회전구간 1km전 지점쯤에 있음.,고양이
187,2021-07-06 11:58,[국민콜] 강릉한전앞 차도 고라니 새끼,고라니
188,2021-07-07 12:22,"동물사체 , 한나자원~ 금호어울림 방향 부근 임시도로에 고라니사체 있다고 연락주심",고라니
189,2021-07-08 09:55,강릉에서 주문진가는 방향. 국군병원 부근 1차선에 사슴인지. 동물사체있음,사슴 추정
190,2021-07-08 15:27,도로에 고양이 사체 - 옛날 관광호텔 사거리에 어린이집 있음.  포남시장 들어가는기남구길 33 오스람전기 앞,고양이
191,2021-07-08 15:41,고양이로드킬신고(강릉원주대 정문앞 7번국도 주문진방향으로 오죽헌빠지는 진입로에 고양이사체),고양이
192,2021-07-09 10:43,노암동 강남촌 맞은편 남산주유소 강아지 로드킬 신고 문의,강아지
193,2021-07-12 08:32,참소리 박물-> 경포해변 상가쪽으로 도로옆 고라니 사체 있음,고라니
194,2021-07-13 09:12,"고양이사체, 초당원길35",고양이
195,2021-07-13 11:18,성산면 위촌길299 게스토랑 도로앞,고양이
196,2021-07-13 14:54,투명지붕에 고양이 로드킬 신고를 하고자 문의(토성로 164번길 8),고양이
197,2021-07-14 09:31,자연아놀자 건너편 고라니 다쳐있다고 하심 ,고라니
198,2021-07-14 11:39,"고라니 사체 신고7번국도(강릉대에서정동진방향, 강릉시청으로 빠지는 지점)",고라니
199,2021-07-14 11:46,서부지구대 -7번국도상 고라니 사체신고(강릉시청으로 빠지는지점),고라니
200,2021-07-14 12:05,로드킬신고(7번국도 강릉소방소 인근),불명
201,2021-07-15 08:54,"시외터미널앞 cu와 이디야커피 중간에 주차공간, 차위에 새가 떨어져있다고 문의",새
202,2021-07-15 09:49,로드킬 -> 경포고등학교 큰 도로변,불명
203,2021-07-15 11:07,경포해변 죽을새가 자꾸떠내려 오고 있음.사체처리,새
204,2021-07-15 13:23,"아산병원입구 7일레븐, 참새 사체",참새
205,2021-07-15 14:55,강릉~정동진 7번국도 신석교 지나서 우측에 정동진방면 고라니사체 ,고라니
206,2021-07-15 18:01,해람중 인근(명주로 9-1)에 오리같이 생긴 기러기처럼 생긴새가 도로로 걸어다님.,기러기 추정
207,2021-07-15 18:14,해람중근처에 오리처럼 생긴 새가 나타났음,오리 추정
208,2021-07-16 11:42,정동진해변 - 새사체 신고,새
209,2021-07-19 08:50,고양이 사체 - 택지 강나루 장어집 앞쪽으로 사체,고양이
210,2021-07-19 11:22,"병산동, 평진냉면 건너편에서 성덕동으로 나오는 방향에 고라나사체신고",고라니
211,2021-07-21 12:05,새냉이길4호 집앞 고양이 사체 ,고양이
212,2021-07-21 12:53,머리에서 피흘리는 고양이 도움요청(곧 죽을거 같다고함)안목커피거리 씨엘베이커리 가게앞(창해로14번길),고양이
213,2021-07-22 13:58,검은고양이 사체 신고임당동 운수탕 주차장 들어가는 뒷골목에 있음,고양이
214,2021-07-23 14:54,로드킬 -> 강릉시자원봉사센터 앞 비둘기 로드킬 ,비둘기
215,2021-07-26 11:41,강릉시청 맞은편 동해나가는 도로 동물사체 신관동대방향 신호 농산물 시장과 관동대가는 도로 신호등 있는 부분,불명
216,2021-07-26 11:58,정동진에서 ~강릉가는 7번국도 모산골가는방향. 노암한라아파트쪽 너구리같은사체 있음,너구리 추정
