순위,분류,관련 키워드,언급건수
108,휴식/힐링,일출뷰,173
109,레포츠,노지캠핑,169
109,레포츠,카라반캠핑,169
111,체험,갯벌체험,168
112,휴식/힐링,벚꽃여행,160
113,기타,제주도여행,159
114,휴식/힐링,요트투어,155
115,레포츠,루어낚시,154
116,휴식/힐링,봄여행,151
117,휴식/힐링,감성여행,140
118,미식,빵투어,135
119,기타,테마여행,133
120,체험,vr체험,131
121,체험,다도체험,129
122,기타,졸업여행,128
122,레포츠,윈드서핑,128
122,휴식/힐링,온천여행,128
125,기타,세계여행,126
126,레포츠,빙벽등반,125
127,레포츠,수상스포츠,124
128,레포츠,해양레포츠,119
129,기타,일출여행,117
130,레포츠,번지점프,116
131,체험,승마체험,115
132,미식,애프터눈티,104
133,체험,서핑체험,101
133,체험,숲체험,101
135,레포츠,스케이트보드,97
135,레포츠,암벽등반,97
135,레포츠,프리다이빙,97
138,기타,걷기여행,96
138,체험,버스투어,96
140,휴식/힐링,노을뷰,92
141,체험,공예체험,91
141,휴식/힐링,책맥,91
143,레포츠,산악자전거,90
144,체험,쿠킹클래스,89
144,휴식/힐링,허니문,89
146,체험,루지체험,85
147,레포츠,캠핑여행,81
148,레포츠,감성캠핑,79
148,레포츠,써핑,79
150,레포츠,스쿼시,78
150,레포츠,웨이크보드,78
150,레포츠,패러세일링,78
153,체험,한옥체험,75
154,기타,역사여행,72
155,레포츠,글라이더,67
156,체험,건초주기체험,63
156,체험,배낚시체험,63
158,레포츠,패들보트,61
158,체험,해녀체험,61
160,기타,자전거여행,60
161,레포츠,ssi,59
161,체험,커피체험,59
163,휴식/힐링,낭만여행,58
164,체험,갯배체험,55
165,체험,카누체험,54
166,기타,기념여행,53
167,체험,목장체험,52
168,기타,세계일주,50
168,체험,목공체험,50
168,체험,야경투어,50
168,휴식/힐링,펫캉스,50
172,체험,딸기체험,49
173,레포츠,오픈워터,48
173,휴식/힐링,농촌여행,48
175,미식,먹거리투어,47
176,미식,맥주파티,46
177,체험,요트체험,45
178,휴식/힐링,하늘멍,44
178,휴식/힐링,숲캉스,44
180,레포츠,민물낚시,43
180,레포츠,스카이다이빙,43
180,레포츠,스키여행,43
180,휴식/힐링,눈꽃여행,43
184,레포츠,골프투어,42
184,체험,공포체험,42
186,기타,해돋이여행,41
187,기타,열차여행,39
187,체험,놀이체험,39
187,체험,숙박체험,39
187,휴식/힐링,산멍,39
187,휴식/힐링,크루즈여행,39
192,레포츠,스노우쿨링,38
192,레포츠,캠크닉,38
192,체험,동물먹이주기체험,38
195,체험,해양체험,37
195,체험,탁본체험,37
197,레포츠,낚시여행,35
197,미식,먹부림여행,35
199,체험,택시투어,34
199,체험,투명카누체험,34
199,기타,데이트스냅,34
202,레포츠,캠프닉,33
203,기타,도시여행,32
203,기타,중국여행,32
203,기타,자전거투어,32
206,체험,동굴체험,31
206,체험,전쟁체험,31
206,체험,선상낚시체험,31
209,기타,미국여행,30
209,체험,족욕체험,30
209,휴식/힐링,일몰뷰,30
212,레포츠,행글라이딩,29
213,체험,농장체험,28
214,체험,바다체험,27
215,휴식/힐링,근교여행,26
216,체험,역사체험,25
217,기타,동남아여행,24
217,기타,무전여행,24
217,기타,청춘여행,24
220,기타,소싸움,21
220,미식,먹거리여행,21
222,레포츠,배스낚시,19
222,레포츠,알빙,19
222,레포츠,페러글라이딩,19
222,체험,감귤체험,19
222,휴식/힐링,홈캠핑,19
222,레포츠,수상자전거,19
228,기타,오지여행,18
228,레포츠,rving,18
228,미식,삼겹살파티,18
228,휴식/힐링,스테이케이션,18
228,휴식/힐링,키캉스,18
233,미식,빵집순례,17
233,체험,공방체험,17
233,체험,도예체험,17
233,체험,치즈체험,17
233,체험,향수만들기,17
233,휴식/힐링,드라이브여행,17
233,휴식/힐링,시골여행,17
233,체험,도자기체험,17
233,체험,목공예체험,17
233,레포츠,수상레져,17
233,레포츠,버기카,17
244,레포츠,padi,16
244,체험,미술체험,16
244,체험,카약체험,16
244,휴식/힐링,홈캉스,16
248,체험,우유주기체험,15
248,레포츠,서바이벌게임,15
250,체험,바다낚시체험,14
250,체험,수확체험,14
250,휴식/힐링,혼놀,14
253,체험,요리체험,13
253,체험,보트체험,13
253,휴식/힐링,숙소콕,13
253,체험,동물먹이체험,13
257,레포츠,아쿠아로빅,12
257,레포츠,애슬레저,12
257,체험,농사체험,12
257,체험,닥터피쉬체험,12
257,체험,전통놀이체험,12
257,레포츠,발야구,12
263,레포츠,견지낚시,11
263,체험,민속놀이체험,11
263,체험,명상체험,11
266,기타,야외취침,10
266,기타,워킹투어,10
266,체험,물레체험,10
269,체험,산림문화체험,9
269,휴식/힐링,집콕생활,9
269,체험,사격체험,9
269,미식,미식체험,9
269,체험,카트체험,9
269,레포츠,모토캠핑,9
269,체험,수상레저체험,9
276,레포츠,캠핑라이프,8
276,체험,씨티투어,8
276,체험,양먹이주기체험,8
276,체험,원예체험,8
276,레포츠,웨이크서핑,8
281,레포츠,스노우보딩,7
281,체험,양떼목장체험,7
281,체험,해양레저체험,7
281,레포츠,bmx,7
281,체험,가죽공예체험,7
281,레포츠,스킨스쿠버다이빙,7
287,레포츠,산악오토바이,6
287,체험,전통의상체험,6
287,휴식/힐링,석양뷰,6
287,체험,타종체험,6
287,기타,일몰투어,6
287,체험,곤충체험,6
293,레포츠,행글라이더,5
293,체험,한옥숙박체험,5
293,휴식/힐링,구름멍,5
293,체험,전통공예체험,5
293,기타,일출투어,5
293,체험,천연염색체험,5
293,체험,야간시티투어,5
293,휴식/힐링,밀월여행,5
301,체험,딸기수확체험,4
301,기타,일본관광,4
301,레포츠,cmas,4
301,레포츠,씨워킹,4
301,체험,염색체험,4
301,레포츠,naui,4
301,체험,고택체험,4
301,체험,산사체험,4
301,체험,텃밭체험,4
310,레포츠,클레이사격,3
310,체험,국궁체험,3
310,체험,레일바이크체험,3
310,체험,알파카체험,3
310,체험,가우디투어,3
310,체험,교복체험,3
310,체험,학생승마체험,3
310,레포츠,인라인스케이팅,3
310,레포츠,블롭점프,3
310,미식,와이너리투어,3
310,체험,농가체험,3
310,체험,담력체험,3
310,체험,맨발체험,3
310,체험,목판체험,3
310,체험,액티비티체험,3
310,체험,투명카약체험,3
310,레포츠,바이크캠핑,3
310,체험,우주체험,3
310,휴식/힐링,집캉스,3
310,레포츠,암벽등산,3
310,미식,와인투어,3
310,체험,한복입기체험,3
332,기타,문화재여행,2
332,레포츠,골캉스,2
332,레포츠,숏스키,2
332,레포츠,원스키,2
332,체험,활쏘기체험,2
332,휴식/힐링,호텔스테이,2
332,체험,스노쿨링체험,2
332,체험,악기체험,2
332,체험,패러글라이딩체험,2
332,레포츠,스킨다이빙,2
332,체험,스노클링체험,2
332,휴식/힐링,홈크닉,2
332,레포츠,실내스키,2
332,휴식/힐링,카캉스,2
332,레포츠,롤러스케이팅,2
332,체험,뱃놀이체험,2
332,체험,클라이밍체험,2
332,체험,물놀이체험,2
332,레포츠,도지볼,2
332,체험,다례체험,2
332,체험,귀신체험,2
332,체험,증강현실체험,2
332,레포츠,플라이낚시,2
355,체험,조종체험,1
355,체험,호텔체험,1
355,체험,마차체험,1
355,체험,경비행기체험,1
355,체험,알공예체험,1
355,레포츠,워터슬레이,1
355,레포츠,인공암벽등반,1
355,체험,박물관체험,1
355,휴식/힐링,황제관광,1
355,체험,전주한옥마을체험,1
355,체험,해저체험,1
355,체험,스쿠버다이빙체험,1
355,체험,전통혼례체험,1
355,휴식/힐링,차캉스,1
355,기타,덕질여행,1
355,기타,순례여행,1
355,레포츠,락클라이밍,1
355,체험,스카이워크체험,1
355,체험,해병대캠프,1
355,휴식/힐링,몰캉스,1
355,휴식/힐링,북캉스,1
355,체험,도서관체험,1
355,체험,오프로드체험,1
355,체험,현지인체험,1
355,체험,달고나체험,1
355,휴식/힐링,모캉스,1
355,레포츠,bsac,1
355,체험,귤체험,1
355,기타,일몰여행,1
355,체험,올레길체험,1
355,체험,조개체험,1
